Date,Demand,Supply,D-S,
2001-01-31,-1.27167809,-1.317590237,0.045912147,
2001-02-28,-1.274511147,-1.315157843,0.040646696,-11.47
2001-03-31,-1.280054035,-1.309722791,0.029668756,-27.01
2001-04-30,-1.288650944,-1.302865274,0.01421433,-52.09
2001-05-31,-1.300100743,-1.295408946,-0.004691797,-133.01
2001-06-30,-1.313820123,-1.288400183,-0.02541994,441.80
2001-07-31,-1.329714822,-1.281959184,-0.047755638,87.87
2001-08-31,-1.346136918,-1.27756632,-0.068570598,43.59
2001-09-30,-1.362312476,-1.276003509,-0.086308967,25.87
2001-10-31,-1.378550633,-1.27673521,-0.101815423,17.97
2001-11-30,-1.393962347,-1.280632395,-0.113329952,11.31
2001-12-31,-1.406546611,-1.28691999,-0.119626621,5.56
2002-01-31,-1.413877979,-1.294091565,-0.119786414,0.13
2002-02-28,-1.415281284,-1.302095161,-0.113186123,-5.51
2002-03-31,-1.409918752,-1.310920633,-0.098998119,-12.54
2002-04-30,-1.401926038,-1.320805198,-0.08112084,-18.06
2002-05-31,-1.395439646,-1.331025104,-0.064414542,-20.59
2002-06-30,-1.39053027,-1.341986808,-0.048543462,-24.64
2002-07-31,-1.386636719,-1.352184822,-0.034451897,-29.03
2002-08-31,-1.384714234,-1.361504571,-0.023209663,-32.63
2002-09-30,-1.385519352,-1.369609679,-0.015909673,-31.45
2002-10-31,-1.387572667,-1.376394911,-0.011177756,-29.74
2002-11-30,-1.388995736,-1.382424699,-0.006571037,-41.21
2002-12-31,-1.389101385,-1.387747206,-0.001354179,-79.39
2003-01-31,-1.384601163,-1.392364937,0.007763774,-673.32
2003-02-28,-1.374114479,-1.395751658,0.021637179,178.69
2003-03-31,-1.357837173,-1.397842481,0.040005308,84.89
2003-04-30,-1.338232019,-1.399475443,0.061243424,53.09
2003-05-31,-1.316887886,-1.399550404,0.082662518,34.97
2003-06-30,-1.295986224,-1.398703047,0.102716823,24.26
2003-07-31,-1.273830691,-1.397350747,0.123520056,20.25
2003-08-31,-1.250308807,-1.394793931,0.144485124,16.97
2003-09-30,-1.225807782,-1.390816286,0.165008504,14.20
