Dates,PX_LAST
1995-01-31,941264
1995-02-28,898926
1995-03-31,976322
1995-04-30,936202
1995-05-31,985609
1995-06-30,937432
1995-07-31,960117
1995-08-31,978655
1995-09-30,957350
1995-10-31,998977
1995-11-30,1003939
1995-12-31,1025022
1996-01-31,1051601
1996-02-29,1015225
1996-03-31,1069343
1996-04-30,1057179
1996-05-31,1072952
1996-06-30,1052893
1996-07-31,1045393
1996-08-31,1036577
1996-09-30,1041327
1996-10-31,1113919
1996-11-30,1042496
1996-12-31,1105645
1997-01-31,1074627
1997-02-28,1018963
1997-03-31,1107736
1997-04-30,1095551
1997-05-31,1124242
1997-06-30,1083814
1997-07-31,1126427
1997-08-31,1113878
1997-09-30,1133355
1997-10-31,1157610
1997-11-30,1108159
1997-12-31,1144514
1998-01-31,1145773
1998-02-28,1096920
1998-03-31,1187323
1998-04-30,1132825
1998-05-31,1174421
1998-06-30,1153971
1998-07-31,1135657
1998-08-31,1147245
1998-09-30,1156787
1998-10-31,1217451
1998-11-30,1185329
1998-12-31,1223080
1999-01-31,1168290
1999-02-28,1116215
1999-03-31,1222005
1999-04-30,1174297
1999-05-31,1187639
1999-06-30,1174371
1999-07-31,1171045
1999-08-31,1184894
1999-09-30,1211129
1999-10-31,1224742
1999-11-30,1214569
1999-12-31,1262663
2000-01-31,1202241
2000-02-29,1155760
2000-03-31,1253977
2000-04-30,1186378
2000-05-31,1238011
2000-06-30,1189540
2000-07-31,1204646
2000-08-31,1238087
2000-09-30,1240976
2000-10-31,1266550
2000-11-30,1298464
2000-12-31,1286831
2001-01-31,1279035
2001-02-28,1215975
2001-03-31,1328859
2001-04-30,1265034
2001-05-31,1309086
2001-06-30,1289488
2001-07-31,1308747
2001-08-31,1296052
2001-09-30,1289770
2001-10-31,1333247
2001-11-30,1333142
2001-12-31,1344047
2002-01-31,1303149
2002-02-28,1214629
2002-03-31,1291209
2002-04-30,1263406
2002-05-31,1310897
2002-06-30,1256086
2002-07-31,1267610
2002-08-31,1266081
2002-09-30,1242539
2002-10-31,1298649
2002-11-30,1259716
2002-12-31,1285858
2003-01-31,1252681
2003-02-28,1205034
2003-03-31,1266910
2003-04-30,1241316
2003-05-31,1269636
2003-06-30,1247497
2003-07-31,1263676
2003-08-31,1256757
2003-09-30,1262943
2003-10-31,1291406
2003-11-30,1272444
2003-12-31,1323768
2004-01-31,1243626
2004-02-29,1237630
2004-03-31,1299788
2004-04-30,1289374
2004-05-31,1274418
2004-06-30,1278029
2004-07-31,1328165
2004-08-31,1327685
2004-09-30,1318330
2004-10-31,1337428
2004-11-30,1352924
2004-12-31,1397667
2005-01-31,1342719
2005-02-28,1296143
2005-03-31,1369711
2005-04-30,1348431
2005-05-31,1383072
2005-06-30,1351088
2005-07-31,1374274
2005-08-31,1393433
2005-09-30,1395733
2005-10-31,1424018
2005-11-30,1451312
2005-12-31,1504585
2006-01-31,1413593
2006-02-28,1369244
2006-03-31,1449582
2006-04-30,1429422
2006-05-31,1457144
2006-06-30,1456164
2006-07-31,1447397
2006-08-31,1455442
2006-09-30,1435772
2006-10-31,1456320
2006-11-30,1446753
2006-12-31,1478811
2007-01-31,1499908
2007-02-28,1403158
2007-03-31,1463289
2007-04-30,1484688
2007-05-31,1525535
2007-06-30,1483465
2007-07-31,1476904
2007-08-31,1508092
2007-09-30,1515576
2007-10-31,1568404
2007-11-30,1523831
2007-12-31,1532302
2008-01-31,1495911
2008-02-29,1457121
2008-03-31,1536619
2008-04-30,1520053
2008-05-31,1541534
2008-06-30,1522550
2008-07-31,1577712
2008-08-31,1569286
2008-09-30,1537926
2008-10-31,1566633
2008-11-30,1548007
2008-12-31,1544693
2009-01-31,1493297.844
2009-02-28,1422543.295
2009-03-31,1497937.62
2009-04-30,1496771.487
2009-05-31,1518177.889
2009-06-30,1509973.983
2009-07-31,1541184.684
2009-08-31,1565144.314
2009-09-30,1571121.639
2009-10-31,1586419.263
2009-11-30,1562494.284
2009-12-31,1614240.322
2010-01-31,1564628.517
2010-02-28,1488387.225
2010-03-31,1590127.942
2010-04-30,1589386.38
2010-05-31,1592204.971
2010-06-30,1604023.087
2010-07-31,1612738.355
2010-08-31,1624256.475
2010-09-30,1579804.683
2010-10-31,1588378.722
2010-11-30,1592588.729
2010-12-31,1670588.364
2011-01-31,1609977.079
2011-02-28,1481351.02
2011-03-31,1633486.706
2011-04-30,1583939.355
2011-05-31,1633968.002
2011-06-30,1630801.144
2011-07-31,1635966.092
2011-08-31,1693900.189
2011-09-30,1681535.057
2011-10-31,1665543.277
2011-11-30,1654297.16
2011-12-31,1692431.018
2012-01-31,1670829.363
2012-02-29,1563067.939
2012-03-31,1681454.547
2012-04-30,1647483.796
2012-05-31,1663421.77
2012-06-30,1651117.096
2012-07-31,1656297.684
2012-08-31,1693030.474
2012-09-30,1681461.408
2012-10-31,1729979.113
2012-11-30,1749110.905
2012-12-31,1815689.247
2013-01-31,1722687.371
2013-02-28,1599705.656
2013-03-31,1761964.317
2013-04-30,1718899.674
2013-05-31,1744396.398
2013-06-30,1711206.103
2013-07-31,1724459.139
2013-08-31,1753586.225
2013-09-30,1761230.224
2013-10-31,1842622.119
2013-11-30,1833501.81
2013-12-31,1831408.915
2014-01-31,1759520.242
2014-02-28,1690903.627
2014-03-31,1821582.913
2014-04-30,1810913.037
2014-05-31,1850109.19
2014-06-30,1889623.889
2014-07-31,1888241.118
2014-08-31,1949871.505
2014-09-30,1916880.762
2014-10-31,1965951.449
2014-11-30,1923552.924
2014-12-31,2009564.007
2015-01-31,1865834.078
2015-02-28,1769769.987
2015-03-31,1897549.639
2015-04-30,1823175.205
2015-05-31,1901597.008
2015-06-30,1922092.847
2015-07-31,1906688.232
2015-08-31,1933416.969
2015-09-30,1925578.105
2015-10-31,1949583.387
2015-11-30,2012784
