x,Predict,Actual
2000-01-31,,-1.557965587
2000-02-29,,-1.588879869
2000-03-31,,-1.548287656
2000-04-30,,-1.560773644
2000-05-31,,-1.536421584
2000-06-30,,-1.549177756
2000-07-31,,-1.549335769
2000-08-31,,-1.527220736
2000-09-30,,-1.50760725
2000-10-31,,-1.474907321
2000-11-30,,-1.427521535
2000-12-31,,-1.397349956
2001-01-31,-1.317590237,-1.378397774
2001-02-28,-1.315157843,-1.405176922
2001-03-31,-1.309722791,-1.351521652
2001-04-30,-1.302865274,-1.351047126
2001-05-31,-1.295408946,-1.32136874
2001-06-30,-1.288400183,-1.310660563
2001-07-31,-1.281959184,-1.289284956
2001-08-31,-1.27756632,-1.280627852
2001-09-30,-1.276003509,-1.277880296
2001-10-31,-1.27673521,-1.246765914
2001-11-30,-1.280632395,-1.221944244
2001-12-31,-1.28691999,-1.194834046
2002-01-31,-1.294091565,-1.200346945
2002-02-28,-1.302095161,-1.263631476
2002-03-31,-1.310920633,-1.263326123
2002-04-30,-1.320805198,-1.281573478
2002-05-31,-1.331025104,-1.264585334
2002-06-30,-1.341986808,-1.287449343
2002-07-31,-1.352184822,-1.298075994
2002-08-31,-1.361504571,-1.307594246
2002-09-30,-1.369609679,-1.330866514
2002-10-31,-1.376394911,-1.312165847
2002-11-30,-1.382424699,-1.323099458
2002-12-31,-1.387747206,-1.314459432
2003-01-31,-1.392364937,-1.32961327
2003-02-28,-1.395751658,-1.373426123
2003-03-31,-1.397842481,-1.367322985
2003-04-30,-1.399475443,-1.379462917
2003-05-31,-1.399550404,-1.370339371
2003-06-30,-1.398703047,-1.377765073
2003-07-31,-1.397350747,-1.372945063
2003-08-31,-1.394793931,-1.373690847
2003-09-30,-1.390816286,-1.370173196
2003-10-31,-1.385752642,-1.348428476
2003-11-30,-1.37940783,-1.343644231
2003-12-31,-1.371662503,-1.305681498
2004-01-31,-1.362787203,-1.328613358
2004-02-29,-1.35219139,-1.350946756
2004-03-31,-1.339656974,-1.327472497
2004-04-30,-1.325006719,-1.315619389
2004-05-31,-1.307912847,-1.316084065
2004-06-30,-1.289365022,-1.314054147
2004-07-31,-1.270386695,-1.279085008
2004-08-31,-1.25043528,-1.251428942
2004-09-30,-1.229767098,-1.235526054
2004-10-31,-1.208747279,-1.210101758
2004-11-30,-1.18750883,-1.179456009
2004-12-31,-1.168244011,-1.125181063
2005-01-31,-1.15101965,-1.118306748
2005-02-28,-1.132282939,-1.143784762
2005-03-31,-1.112932631,-1.115237462
2005-04-30,-1.092037423,-1.106552844
2005-05-31,-1.069875918,-1.076565593
2005-06-30,-1.046333784,-1.073848191
2005-07-31,-1.02090735,-1.056253376
2005-08-31,-0.995484107,-1.029434969
2005-09-30,-0.969314344,-1.006450525
2005-10-31,-0.943284446,-0.969250756
2005-11-30,-0.918263633,-0.921337837
2005-12-31,-0.894688586,-0.847575895
2006-01-31,-0.87247823,-0.849084668
2006-02-28,-0.853583132,-0.879787986
2006-03-31,-0.837757973,-0.850918236
2006-04-30,-0.823710201,-0.841230751
2006-05-31,-0.811082123,-0.815042999
2006-06-30,-0.799355983,-0.794744591
2006-07-31,-0.787289607,-0.784336752
2006-08-31,-0.774119915,-0.770659792
2006-09-30,-0.759886123,-0.772800643
2006-10-31,-0.745791298,-0.760846951
2006-11-30,-0.732325385,-0.757646961
2006-12-31,-0.719496854,-0.733765353
2007-01-31,-0.707060748,-0.700628557
2007-02-28,-0.695199938,-0.738467064
2007-03-31,-0.683667637,-0.728745041
2007-04-30,-0.672806745,-0.706735053
2007-05-31,-0.660043435,-0.661959927
2007-06-30,-0.646304799,-0.654120373
2007-07-31,-0.630812202,-0.652212419
2007-08-31,-0.614322833,-0.629943072
2007-09-30,-0.597645753,-0.607150023
2007-10-31,-0.58065998,-0.553779943
2007-11-30,-0.564476826,-0.54072916
2007-12-31,-0.548324895,-0.524654514
2008-01-31,-0.532853488,-0.53599827
2008-02-29,-0.519504836,-0.570872312
2008-03-31,-0.505934923,-0.54589782
2008-04-30,-0.49154849,-0.536936191
2008-05-31,-0.477793059,-0.515479981
2008-06-30,-0.464463096,-0.510941178
2008-07-31,-0.451464876,-0.470622162
2008-08-31,-0.439447283,-0.443971041
2008-09-30,-0.432507461,-0.443507524
2008-10-31,-0.433458285,-0.424043828
2008-11-30,-0.445615066,-0.42086093
2008-12-31,-0.463090001,-0.420518738
2009-01-31,-0.481361233,-0.454427646
2009-02-28,-0.496662528,-0.528613272
2009-03-31,-0.50594151,-0.537817382
2009-04-30,-0.508086741,-0.545956259
2009-05-31,-0.504579973,-0.538230069
2009-06-30,-0.492779199,-0.537505494
2009-07-31,-0.472484216,-0.516167752
2009-08-31,-0.449921107,-0.483162128
2009-09-30,-0.427040868,-0.452782139
2009-10-31,-0.403553933,-0.418303774
2009-11-30,-0.386350495,-0.406633467
2009-12-31,-0.372705279,-0.362881189
2010-01-31,-0.361078296,-0.360875931
2010-02-28,-0.347706327,-0.409979429
2010-03-31,-0.332643928,-0.381594982
2010-04-30,-0.318128086,-0.359380634
2010-05-31,-0.305381053,-0.339734525
2010-06-30,-0.294786144,-0.316157467
2010-07-31,-0.285258639,-0.291499339
2010-08-31,-0.275741267,-0.264112193
2010-09-30,-0.265749913,-0.271767142
2010-10-31,-0.254478067,-0.27218855
2010-11-30,-0.245348626,-0.269725622
2010-12-31,-0.236587061,-0.215878109
2011-01-31,-0.228056832,-0.213112364
2011-02-28,-0.217510678,-0.296448321
2011-03-31,-0.204762256,-0.261932397
2011-04-30,-0.189523177,-0.267273355
2011-05-31,-0.169731203,-0.238272317
2011-06-30,-0.146801099,-0.217177748
2011-07-31,-0.121826864,-0.196866912
2011-08-31,-0.104271919,-0.142086562
2011-09-30,-0.093041198,-0.106486271
2011-10-31,-0.083736731,-0.088642091
2011-11-30,-0.080146033,-0.081846484
2011-12-31,-0.081640214,-0.051047358
2012-01-31,-0.089023676,-0.040775212
2012-02-29,-0.094530654,-0.104229082
2012-03-31,-0.091333752,-0.076253833
2012-04-30,-0.085881887,-0.076467412
2012-05-31,-0.075348949,-0.066038008
2012-06-30,-0.061363458,-0.065878262
2012-07-31,-0.043253452,-0.062304882
2012-08-31,-0.020283008,-0.035015382
2012-09-30,0.003280313,-0.02087831
2012-10-31,0.026040439,0.022700232
2012-11-30,0.047488115,0.070287526
2012-12-31,0.067564478,0.152638285
2013-01-31,0.084336812,0.156663807
2013-02-28,0.101564776,0.078089696
2013-03-31,0.124482262,0.123147837
2013-04-30,0.146850472,0.13055227
2013-05-31,0.170284335,0.153433561
2013-06-30,0.193697456,0.149663893
2013-07-31,0.21711106,0.155462687
2013-08-31,0.241794623,0.179474003
2013-09-30,0.268249744,0.203767041
2013-10-31,0.299550069,0.277334816
2013-11-30,0.328714232,0.330123165
2013-12-31,0.356456163,0.370961869
2014-01-31,0.380627181,0.355820034
2014-02-28,0.408768424,0.298069995
2014-03-31,0.447678311,0.338784109
2014-04-30,0.488059698,0.364258918
2014-05-31,0.52703781,0.410707932
2014-06-30,0.563782212,0.474148173
2014-07-31,0.599518344,0.523980692
2014-08-31,0.631430471,0.604836771
2014-09-30,0.657980032,0.647579655
2014-10-31,0.679878133,0.714410633
2014-11-30,0.695370796,0.739676366
2014-12-31,0.706127622,0.817094497
2015-01-31,0.714205081,0.78343494
2015-02-28,0.723724873,0.692615545
2015-03-31,0.739804054,0.70494564
2015-04-30,0.758293041,0.66534365
2015-05-31,0.780847818,0.68582001
2015-06-30,0.807469869,0.715832778
