TIME,Value
1990-01-01,102.0533
1990-02-01,101.9303
1990-03-01,101.8477
1990-04-01,101.7375
1990-05-01,101.6055
1990-06-01,101.4538
1990-07-01,101.2391
1990-08-01,100.9378
1990-09-01,100.6738
1990-10-01,100.4562
1990-11-01,100.2406
1990-12-01,100.0741
1991-01-01,99.89214
1991-02-01,99.93064
1991-03-01,100.1414
1991-04-01,100.2115
1991-05-01,100.2204
1991-06-01,100.121
1991-07-01,99.93382
1991-08-01,99.78815
1991-09-01,99.74792
1991-10-01,99.72588
1991-11-01,99.7698
1991-12-01,99.79518
1992-01-01,99.74385
1992-02-01,99.73206
1992-03-01,99.8271
1992-04-01,99.91452
1992-05-01,100.0513
1992-06-01,100.2626
1992-07-01,100.3766
1992-08-01,100.3909
1992-09-01,100.301
1992-10-01,100.0861
1992-11-01,99.84206
1992-12-01,99.69302
1993-01-01,99.64482
1993-02-01,99.57499
1993-03-01,99.46901
1993-04-01,99.35992
1993-05-01,99.27528
1993-06-01,99.34631
1993-07-01,99.48753
1993-08-01,99.73072
1993-09-01,99.91013
1993-10-01,99.93985
1993-11-01,99.99592
1993-12-01,99.95155
1994-01-01,99.95732
1994-02-01,100.0951
1994-03-01,100.358
1994-04-01,100.5844
1994-05-01,100.7451
1994-06-01,100.8322
1994-07-01,100.9011
1994-08-01,101.0121
1994-09-01,101.0747
1994-10-01,101.0117
1994-11-01,100.9424
1994-12-01,100.8402
1995-01-01,100.8336
1995-02-01,100.9472
1995-03-01,101.021
1995-04-01,100.9875
1995-05-01,100.9859
1995-06-01,100.9617
1995-07-01,100.9719
1995-08-01,101.0936
1995-09-01,101.1969
1995-10-01,101.2572
1995-11-01,101.1646
1995-12-01,100.9102
1996-01-01,100.6777
1996-02-01,100.4917
1996-03-01,100.3477
1996-04-01,100.3704
1996-05-01,100.5229
1996-06-01,100.6714
1996-07-01,100.8228
1996-08-01,100.9765
1996-09-01,101.1459
1996-10-01,101.2921
1996-11-01,101.2847
1996-12-01,101.2754
1997-01-01,101.4024
1997-02-01,101.5249
1997-03-01,101.6019
1997-04-01,101.6712
1997-05-01,101.6565
1997-06-01,101.6741
1997-07-01,101.7441
1997-08-01,101.8306
1997-09-01,101.9305
1997-10-01,101.9443
1997-11-01,101.9222
1997-12-01,101.9212
1998-01-01,101.9397
1998-02-01,101.9621
1998-03-01,102.0419
1998-04-01,102.0472
1998-05-01,102.1023
1998-06-01,102.0757
1998-07-01,101.9731
1998-08-01,101.6902
1998-09-01,101.3165
1998-10-01,101.0578
1998-11-01,101.0307
1998-12-01,101.0302
1999-01-01,100.9611
1999-02-01,100.8827
1999-03-01,100.8603
1999-04-01,100.957
1999-05-01,101.0829
1999-06-01,101.2305
1999-07-01,101.4069
1999-08-01,101.6601
1999-09-01,101.9451
1999-10-01,102.1751
1999-11-01,102.2111
1999-12-01,102.239
2000-01-01,102.2709
2000-02-01,102.2619
2000-03-01,102.266
2000-04-01,102.2433
2000-05-01,102.185
2000-06-01,102.1371
2000-07-01,102.0556
2000-08-01,102.0425
2000-09-01,102.0805
2000-10-01,102.1472
2000-11-01,102.0758
2000-12-01,101.8647
2001-01-01,101.5315
2001-02-01,101.1796
2001-03-01,100.898
2001-04-01,100.7078
2001-05-01,100.5838
2001-06-01,100.399
2001-07-01,100.3087
2001-08-01,100.2557
2001-09-01,100.2489
2001-10-01,100.2709
2001-11-01,100.4883
2001-12-01,100.8672
2002-01-01,101.2167
2002-02-01,101.2437
2002-03-01,101.0707
2002-04-01,100.7464
2002-05-01,100.4184
2002-06-01,100.0938
2002-07-01,99.8227
2002-08-01,99.6031
2002-09-01,99.46434
2002-10-01,99.44079
2002-11-01,99.40691
2002-12-01,99.21656
2003-01-01,98.86694
2003-02-01,98.63111
2003-03-01,98.56903
2003-04-01,98.63313
2003-05-01,98.73048
2003-06-01,98.71645
2003-07-01,98.7168
2003-08-01,98.88132
2003-09-01,99.05099
2003-10-01,99.15733
2003-11-01,99.2841
2003-12-01,99.40196
2004-01-01,99.47299
2004-02-01,99.66543
2004-03-01,99.68978
2004-04-01,99.64754
2004-05-01,99.64529
2004-06-01,99.67786
2004-07-01,99.78973
2004-08-01,99.78208
