x,Predict,Actual
1995-01-31,,-1.616937352
1995-02-28,,-1.62229516
1995-03-31,,-1.581080182
1995-04-30,,-1.559511575
1995-05-31,,-1.56562916
1995-06-30,,-1.540340951
1995-07-31,,-1.554381257
1995-08-31,,-1.583049969
1995-09-30,,-1.579637415
1995-10-31,,-1.563018187
1995-11-30,,-1.561886079
1995-12-31,,-1.593094692
1996-01-31,-1.579274774,-1.595736482
1996-02-29,-1.58033545,-1.578708147
1996-03-31,-1.581901345,-1.527843349
1996-04-30,-1.584197858,-1.489976863
1996-05-31,-1.587377603,-1.477689658
1996-06-30,-1.588767644,-1.463786486
1996-07-31,-1.589646336,-1.476467626
1996-08-31,-1.589743016,-1.53464242
1996-09-30,-1.588089917,-1.516609778
1996-10-31,-1.582859829,-1.451060485
1996-11-30,-1.574972928,-1.425973639
1996-12-31,-1.565983844,-1.448191134
1997-01-31,-1.555711017,-1.455622143
1997-02-28,-1.545677126,-1.49035635
1997-03-31,-1.535422492,-1.469016562
1997-04-30,-1.524254027,-1.406061118
1997-05-31,-1.513033106,-1.401332501
1997-06-30,-1.502117216,-1.379409649
1997-07-31,-1.491734862,-1.410874855
1997-08-31,-1.481012749,-1.471788876
1997-09-30,-1.470092573,-1.44183008
1997-10-31,-1.458254534,-1.406258981
1997-11-30,-1.444533768,-1.365033512
1997-12-31,-1.43071511,-1.373163105
1998-01-31,-1.416989467,-1.37505477
1998-02-28,-1.403621809,-1.35904919
1998-03-31,-1.390277041,-1.312128437
1998-04-30,-1.376576911,-1.247464342
1998-05-31,-1.363639363,-1.219517216
1998-06-30,-1.351207883,-1.193848719
1998-07-31,-1.339741278,-1.215470719
1998-08-31,-1.328334156,-1.288059282
1998-09-30,-1.317492416,-1.288635406
1998-10-31,-1.309167783,-1.280984201
1998-11-30,-1.302256354,-1.260246154
1998-12-31,-1.295240623,-1.329142518
1999-01-31,-1.286967383,-1.321925608
1999-02-28,-1.276520193,-1.330359652
1999-03-31,-1.264144159,-1.286174633
1999-04-30,-1.250186163,-1.230860406
1999-05-31,-1.234613695,-1.198221765
1999-06-30,-1.217275745,-1.126094894
1999-07-31,-1.198307662,-1.104559951
1999-08-31,-1.175864982,-1.125302024
1999-09-30,-1.149723496,-1.124699497
1999-10-31,-1.122389003,-1.11459859
1999-11-30,-1.096447861,-1.091850338
1999-12-31,-1.072336464,-1.105007764
2000-01-31,-1.049108814,-1.110098876
2000-02-29,-1.027999386,-1.098933638
2000-03-31,-1.009177291,-1.034738145
2000-04-30,-0.994004912,-0.948938396
2000-05-31,-0.982057815,-0.892697813
2000-06-30,-0.973001103,-0.848473926
2000-07-31,-0.967064151,-0.848187964
2000-08-31,-0.964539392,-0.89189126
2000-09-30,-0.96358528,-0.864126657
2000-10-31,-0.962803918,-0.824726383
2000-11-30,-0.961497738,-0.801051408
2000-12-31,-0.960633408,-0.856753524
2001-01-31,-0.960481772,-0.857736253
2001-02-28,-0.961935873,-0.882344554
2001-03-31,-0.964857312,-0.842448236
2001-04-30,-0.969774176,-0.857166016
2001-05-31,-0.976017872,-0.87408814
2001-06-30,-0.982992967,-0.880100609
2001-07-31,-0.990513603,-0.898678272
2001-08-31,-0.996925362,-0.9379277
2001-09-30,-1.002383048,-0.965707821
