,Predict,Predict_EWM
2001-01-31,-1.2716781,-1.27167809009552
2001-02-28,-1.2858434,-1.2745111465454104
2001-03-31,-1.3022256,-1.2800540351867677
2001-04-30,-1.3230386,-1.2886509437561038
2001-05-31,-1.3458999,-1.3001007429122928
2001-06-30,-1.3686976,-1.3138201229858402
2001-07-31,-1.3932936,-1.329714822219849
2001-08-31,-1.4118253,-1.3461369176284794
2001-09-30,-1.4270147,-1.36231247580658
2001-10-31,-1.4435033,-1.3785506327677617
2001-11-30,-1.4556092,-1.3939623466911992
2001-12-31,-1.4568837,-1.4065466111328666
2002-01-31,-1.4432034,-1.4138779787561468
2002-02-28,-1.4208945,-1.4152812837236066
2002-03-31,-1.3884686,-1.4099187516111487
2002-04-30,-1.3699552,-1.401926037704019
2002-05-31,-1.3694941,-1.395439646271919
2002-06-30,-1.3708928,-1.3905302696450987
2002-07-31,-1.3710625,-1.3866367191493065
2002-08-31,-1.3770243,-1.3847142339086176
2002-09-30,-1.3887398,-1.385519351985903
2002-10-31,-1.3957859,-1.387572667143227
2002-11-30,-1.394688,-1.3889957357577334
2002-12-31,-1.389524,-1.3891013852065286
2003-01-31,-1.3666003,-1.3846011631731576
2003-02-28,-1.3321677,-1.3741144794658333
2003-03-31,-1.292728,-1.357837173019688
2003-04-30,-1.2598114,-1.338232018689188
2003-05-31,-1.2315114,-1.3168878858406328
2003-06-30,-1.2123796,-1.2959862236276454
2003-07-31,-1.1852086,-1.2738306907093673
2003-08-31,-1.1562213,-1.2503088066797376
2003-09-30,-1.1278037,-1.225807781999979
2003-10-31,-1.0946288,-1.199571987776497
2003-11-30,-1.057024,-1.1710623906362367
2003-12-31,-1.0105067,-1.1389512623396167
2004-01-31,-0.9620063,-1.103562264048787
2004-02-29,-0.92367375,-1.067584561033036
2004-03-31,-0.8852563,-1.0311189069135869
2004-04-30,-0.8558097,-0.9960570632444926
2004-05-31,-0.8282963,-0.9625049113454109
2004-06-30,-0.81171685,-0.932347299990788
2004-07-31,-0.8044023,-0.9067582983475804
2004-08-31,-0.79775864,-0.8849583664498234
2004-09-30,-0.7855793,-0.8650825579135819
2004-10-31,-0.7823192,-0.8485298839544617
2004-11-30,-0.77824134,-0.8344721744327039
2004-12-31,-0.7746154,-0.8225008209441734
2005-01-31,-0.7648099,-0.8109626380518782
2005-02-28,-0.7501571,-0.7988015340102281
2005-03-31,-0.72654384,-0.7843499959574196
2005-04-30,-0.7107644,-0.7696328783882501
2005-05-31,-0.6977734,-0.7552609821043684
2005-06-30,-0.6837421,-0.740957206875664
2005-07-31,-0.6710905,-0.7269838622336245
2005-08-31,-0.659556,-0.713498284111393
2005-09-30,-0.6472463,-0.7002478875239473
2005-10-31,-0.64279073,-0.6887564569727407
2005-11-30,-0.6301695,-0.6770390677464665
2005-12-31,-0.61697054,-0.6650253620157767
2006-01-31,-0.5908716,-0.6501946041115227
2006-02-28,-0.5720084,-0.6345573575598481
2006-03-31,-0.5462195,-0.6168897915921595
2006-04-30,-0.5266407,-0.5988399759167025
2006-05-31,-0.49774286,-0.5786205530352266
2006-06-30,-0.47010836,-0.5569181144386031
2006-07-31,-0.45232967,-0.5360004246353705
2006-08-31,-0.43238506,-0.5152773511504809
2006-09-30,-0.4108189,-0.49438566184804283
2006-10-31,-0.39768645,-0.4750458198131358
