Date,HSI_value,CCI_value,IPI_value,GDPC_value,Copper price,PX_LAST
1995-01-31,1407,100.8336,71.2762,10550.251,1.3809761904761904,969917.0
1995-02-28,1316,100.9472,71.1904,10550.251,1.3221789473684211,960039.0
1995-03-31,1249,101.021,71.2891,10550.251,1.3512826086956522,1043928.0
1995-04-30,1267,100.9875,71.1623,10581.723,1.3289105263157894,1022904.0
1995-05-31,1314,100.9859,71.5044,10581.723,1.2600909090909092,979813.0
1995-06-30,1281,100.9617,71.743,10581.723,1.3696272727272727,1035459.0
1995-07-31,1461,100.9719,71.4459,10671.738,1.3598684210526315,972275.0
1995-08-31,1416,101.0936,72.38,10671.738,1.3768608695652174,940128.0
1995-09-30,1369,101.1969,72.6601,10671.738,1.307575,988704.0
1995-10-31,1369,101.2572,72.5428,10744.203,1.2568409090909092,1014311.0
1995-11-30,1452,101.1646,72.7178,10744.203,1.318285,991886.0
1995-12-31,1431,100.9102,72.9672,10744.203,1.27821,932678.0
1996-01-31,1467,100.6777,72.5866,10824.674,1.143095238095238,973838.0
1996-02-29,1491,100.4917,73.6389,10824.674,1.15419,1009129.0
1996-03-31,1424,100.3477,73.5202,10824.674,1.1712380952380952,1077791.0
1996-04-30,1516,100.3704,74.2664,11005.217,1.1832952380952382,1072582.0
1996-05-31,1504,100.5229,74.8145,11005.217,1.1906363636363635,1039385.0
1996-06-30,1467,100.6714,75.3779,11005.217,0.9818450000000001,1046895.0
1996-07-31,1472,100.8228,75.3754,11103.935,0.8998809523809524,1003009.0
1996-08-31,1557,100.9765,75.7568,11103.935,0.9171499999999999,914458.0
1996-09-30,1475,101.1459,76.2304,11103.935,0.8946249999999999,1033508.0
1996-10-31,1392,101.2921,76.2193,11219.238,0.9136521739130434,1127762.0
1996-11-30,1489,101.2847,76.8941,11219.238,0.9995368421052632,1077333.0
1996-12-31,1370,101.2754,77.3731,11219.238,1.0158047619047619,999370.0
1997-01-31,1355,101.4024,77.5138,11291.665,1.0514999999999999,1018439.0
1997-02-28,1486,101.5249,78.4246,11291.665,1.0928105263157895,965361.0
1997-03-31,1457,101.6019,78.9266,11291.665,1.1095000000000002,1055935.0
1997-04-30,1492,101.6712,78.9924,11479.33,1.085531818181818,1140529.0
1997-05-31,1442,101.6565,79.4411,11479.33,1.1483333333333332,1056392.0
1997-06-30,1494,101.6741,79.8048,11479.33,1.1746714285714286,1089836.0
1997-07-31,1437,101.7441,80.48,11622.911,1.0741363636363637,999490.0
1997-08-31,1390,101.8306,81.2862,11622.911,1.0222761904761906,933594.0
1997-09-30,1546,101.9305,82.038,11622.911,0.9638809523809523,1078672.0
1997-10-31,1520,101.9443,82.7657,11722.722,0.9395652173913043,1100066.0
1997-11-30,1510,101.9222,83.4321,11722.722,0.8770611111111112,1123607.0
1997-12-31,1566,101.9212,83.7826,11722.722,0.7982772727272728,1047814.0
1998-01-31,1525,101.9397,84.1656,11839.876,0.778025,1056317.0
1998-02-28,1584,101.9621,84.3048,11839.876,0.7590421052631579,1088616.0
1998-03-31,1567,102.0419,84.3416,11839.876,0.8052272727272727,1151515.0
1998-04-30,1540,102.0472,84.6263,11949.492,0.8185952380952382,1201529.0
1998-05-31,1536,102.1023,85.1839,11949.492,0.786625,1157679.0
1998-06-30,1641,102.0757,84.6809,11949.492,0.7516954545454545,1163783.0
1998-07-31,1698,101.9731,84.3448,12099.191,0.7590454545454545,1086060.0
1998-08-31,1614,101.6902,86.0846,12099.191,0.7338523809523809,984122.0
1998-09-30,1582,101.3165,85.9945,12099.191,0.755904761904762,1090123.0
1998-10-31,1715,101.0578,86.5967,12294.737,0.7258409090909091,1105079.0
1998-11-30,1660,101.0307,86.5114,12294.737,0.7179842105263158,1132028.0
1998-12-31,1792,101.0302,86.8608,12294.737,0.6676090909090909,974419.0
1999-01-31,1748,100.9611,87.2277,12410.778,0.6564473684210527,1089342.0
1999-02-28,1670,100.8827,87.7266,12410.778,0.6424105263157894,1063148.0
